"","peak_id","peak_name","peak_alternative_name","height_metres","climbing_status","first_ascent_year","first_ascent_country","first_ascent_expedition_id"
"94","KARY","Karyolung",NA,6530,"Climbed",1982,"Japan, Nepal","KARY82301"
"95","KCHN","Kangchung Nup","Khangchung Nup, Kangcho Nup, Cholo",6043,"Climbed",1953,"UK, New Zealand","KCHN53101"
"96","NAYA","Naya Kanga","Kangja Chuli, Ghanja La Chuli",5863,"Climbed",NA,NA,NA
"97","KGUR","Kang Guru","Naurgaon",6981,"Climbed",1955,"W Germany","KGUR55201"
"98","KHAT","Khatang",NA,6790,"Climbed",1982,"Japan, Nepal","KHAT82301"
"99","KHON","Khongma Tse","Mehra Peak",5798,"Climbed",NA,NA,NA
"100","KJER","Kanjeralwa","Kanchen Ruwa",6612,"Climbed",1973,"Japan, Nepal","KJER73101"
"101","KJRN","Kanjiroba North",NA,6858,"Unclimbed",NA,NA,NA
"102","KJRS","Kanjiroba South",NA,6883,"Climbed",1970,"Japan","KJRS70301"
"103","KOTA","Kotang","Kokthang, Kothang Kang",6148,"Climbed",1982,"Inida","KOTA82301"
